strategy,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,training_time
smote_conservative,0.3958298047533673,0.010326896307080276,0.28388146361377203,0.006700519308335928,0.6559320685677923,0.04378147150902108,0.8856145722060065,0.01133125070824572,15.008946657180786
borderline_smote,0.33571653427994247,0.008274785209793547,0.22141331784167714,0.008222771135045163,0.6962096806268145,0.025717505819310937,0.8789357669734784,0.009889830024884423,21.369789361953735
smote_aggressive,0.3319515391260795,0.004385659766107701,0.21526503270980898,0.002431823844048719,0.7272879131368573,0.04325118471752885,0.8852214150707945,0.012987860747888252,17.71457576751709
adasyn_conservative,0.3282931146230244,0.008390418027539186,0.21321774376490324,0.0031050053410777725,0.7157817285129061,0.053062236918096764,0.8828884571903335,0.01060429208137274,19.003764390945435
baseline,0.30491227963615214,0.007233160104425618,0.19187393002360534,0.006263702673937085,0.7456826949846876,0.04365763642736045,0.8917380537455081,0.012140623721733454,27.98691487312317
smote_default,0.29912117456387755,0.0049533093724229834,0.18676748413716227,0.0026804102812242776,0.7525792467088256,0.04127886761839706,0.8853887596809601,0.01260890008922473,28.541878700256348
smote_tomek,0.29883771598056835,0.004922118113682095,0.18661667255675507,0.002260013899374411,0.7514298214214691,0.042562952886983176,0.8852358645581102,0.012233366744055112,174.89227080345154
random_under_conservative,0.28651067826464993,0.0036163818382503846,0.1784044574305801,0.0038657389198221512,0.7318776597860239,0.05350789200640369,0.8837164994337813,0.01744373415356686,2.0137205123901367
smote_enn,0.27365508634113705,0.012634048251859977,0.16677938865815176,0.008055868600365234,0.7629121425446447,0.03845791806619616,0.8852245970242082,0.021382589199460053,182.01858234405518
random_under_balanced,0.2580540817876207,0.0008116601171983888,0.155543020243847,0.002524761522965447,0.7606371554707075,0.04666974481045049,0.8806971644598217,0.015287152766063478,2.0427818298339844
adasyn_default,0.2495441462033647,0.0061037408930773905,0.14874845426976643,0.004123115038235474,0.775583661456469,0.03213016390581673,0.8838973928337772,0.012639520312290781,24.414884090423584
