model_name,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,training_time,cv_folds
lightgbm,0.5404133213869542,0.028930348576014144,0.5007449846615231,0.03234137126799671,0.5880007972892166,0.03263439725755093,0.9429240673558346,0.005799353842712509,0.6021713813955287,0.02559782843472039,69.31148934364319,5
catboost,0.44742093486355783,0.028247587653382016,0.3338393425277526,0.026609935406236566,0.6800744136602218,0.0311512456556573,0.9401112115916439,0.005302900553551925,0.5745836340526189,0.01891956287608264,91.36627674102783,5
xgboost,0.2253268217679861,0.007445584834350406,0.13021349944315375,0.005199668650736486,0.8377250681017874,0.009557924204753496,0.9333659624375196,0.005190977614942428,0.550104375236231,0.015872979286284776,36.11844038963318,5
random_forest,0.3961198453683192,0.025159412554913767,0.28328770677044535,0.024971183054118086,0.6627865258122384,0.032926789810749056,0.9247670996588431,0.007453608143953134,0.4719464733180224,0.026954200130595796,40.03182005882263,5
logistic_regression,0.3065967343641375,0.016771453766110705,0.19275791017273675,0.010727696886550118,0.7513720018603416,0.05820677106833717,0.8936468617848552,0.02323250098104099,0.46174614775410133,0.05066066581642337,55.39937424659729,5
